Naam, SE1,SE2,SE3,SE4,SE5,SE6,SE7,SE8,SE9,SE10
Piet,1,2,3,4,5,6,7,8,9,10
Cindy,10,9,8,7,6,5,4,3,2,1
Sandra,2,2,4,4,6,6,8,8,10,10
Klaas,1,1,3,3,5,5,7,7,9,9
Saskia,10,10,8,8,6,6,4,4,2,2
Hendrik,9,9,7,7,5,5,3,3,1,1
Chantal,1,1,1,1,1,1,1,1,1,1
Leon,2,2,2,2,2,2,2,2,2,2
Lian,3,3,3,3,3,3,3,3,3,3
Dion,4,4,4,4,4,4,4,4,4,4
Tina,5,5,5,5,5,5,5,5,5,5
Richard,6,6,6,6,6,6,6,6,6,6
Patricia,7,7,7,7,7,7,7,7,7,7
George,8,8,8,8,8,8,8,8,8,8
Emma,9,9,9,9,9,9,9,9,9,9
Chris,10,10,10,10,10,10,10,10,10,10
